size,process_num,time
14,1,0.08498382568359375
14,2,0.06116819381713867
14,4,0.10746908187866211
14,6,0.14130711555480957
14,8,0.16995787620544434
14,10,0.21590304374694824
14,12,0.24390792846679688
14,14,0.2595188617706299
14,16,0.29378390312194824
100,1,0.029985904693603516
100,2,0.06032299995422363
100,4,0.10176396369934082
100,6,0.13916015625
100,8,0.16317009925842285
100,10,0.20619916915893555
100,12,0.2244100570678711
100,14,0.26137399673461914
100,16,0.2970607280731201
1000,1,0.09523487091064453
1000,2,0.07682681083679199
1000,4,0.10398101806640625
1000,6,0.1494591236114502
1000,8,0.16630101203918457
1000,10,0.22051215171813965
1000,12,0.23794794082641602
1000,14,0.24962878227233887
1000,16,0.27481794357299805
